Customer ID,Previous Purchases,Payment Method,Frequency of Purchases
879,37,Debit Card,Weekly
880,14,PayPal,Quarterly
881,25,Debit Card,Monthly
882,18,Venmo,Annually
883,37,Cash,Every 3 Months
884,30,Bank Transfer,Monthly
885,34,Bank Transfer,Weekly
886,49,Debit Card,Every 3 Months
887,48,Bank Transfer,Monthly
888,33,PayPal,Fortnightly
889,44,Cash,Annually
890,50,Venmo,Weekly
891,47,Credit Card,Monthly
892,24,PayPal,Every 3 Months
893,43,Debit Card,Monthly
894,14,Venmo,Monthly
895,3,Debit Card,Quarterly
896,33,Debit Card,Quarterly
897,38,Cash,Fortnightly
898,46,Venmo,Weekly
899,19,Bank Transfer,Every 3 Months
900,20,PayPal,Annually
901,42,Bank Transfer,Quarterly
902,34,Cash,Monthly
903,5,Cash,Monthly
904,3,PayPal,Quarterly
905,46,PayPal,Every 3 Months
906,16,Venmo,Annually
907,21,Debit Card,Bi-Weekly
908,34,Credit Card,Bi-Weekly
909,9,PayPal,Every 3 Months
910,36,PayPal,Weekly
911,22,Credit Card,Monthly
912,2,Bank Transfer,Quarterly
913,32,Bank Transfer,Monthly
914,29,Cash,Every 3 Months
915,27,Venmo,Every 3 Months
916,33,Credit Card,Fortnightly
917,16,Venmo,Monthly
918,11,Bank Transfer,Quarterly
919,11,Cash,Fortnightly
920,17,Debit Card,Bi-Weekly
921,37,Cash,Weekly
922,18,PayPal,Weekly
923,13,Credit Card,Monthly
924,7,PayPal,Weekly
925,37,Cash,Quarterly
926,8,Cash,Monthly
927,11,Cash,Bi-Weekly
928,8,Venmo,Bi-Weekly
929,31,Cash,Every 3 Months
930,26,Debit Card,Fortnightly
931,20,Credit Card,Bi-Weekly
932,24,Bank Transfer,Fortnightly
933,45,Debit Card,Bi-Weekly
934,33,Debit Card,Monthly
935,21,Bank Transfer,Monthly
936,2,Bank Transfer,Fortnightly
937,28,Cash,Weekly
938,18,Venmo,Quarterly
939,21,Debit Card,Fortnightly
940,24,Credit Card,Monthly
941,15,PayPal,Every 3 Months
942,38,PayPal,Every 3 Months
943,38,PayPal,Bi-Weekly
944,13,Venmo,Fortnightly
945,39,Cash,Bi-Weekly
946,8,Venmo,Every 3 Months
947,4,PayPal,Quarterly
948,6,Cash,Every 3 Months
949,11,Venmo,Every 3 Months
950,49,Venmo,Monthly
951,30,PayPal,Quarterly
952,34,Bank Transfer,Monthly
953,28,PayPal,Monthly
954,36,Venmo,Quarterly
955,18,Credit Card,Every 3 Months
956,4,PayPal,Monthly
957,42,Debit Card,Quarterly
958,11,Cash,Quarterly
959,31,Credit Card,Bi-Weekly
960,12,Cash,Fortnightly
961,20,Venmo,Quarterly
962,37,Debit Card,Quarterly
963,26,Debit Card,Fortnightly
964,14,Credit Card,Weekly
965,12,Venmo,Bi-Weekly
966,10,Credit Card,Annually
967,19,Cash,Annually
968,4,Cash,Weekly
969,48,Bank Transfer,Quarterly
970,37,PayPal,Monthly
971,4,Cash,Monthly
972,15,Credit Card,Weekly
973,33,Credit Card,Weekly
974,30,Bank Transfer,Quarterly
975,23,Bank Transfer,Monthly
976,2,Bank Transfer,Weekly
977,50,Credit Card,Every 3 Months
978,34,Cash,Bi-Weekly
979,33,Credit Card,Weekly
980,34,Debit Card,Monthly
981,39,PayPal,Every 3 Months
982,47,Credit Card,Quarterly
983,37,PayPal,Monthly
984,40,Venmo,Bi-Weekly
985,8,Credit Card,Bi-Weekly
986,12,Bank Transfer,Annually
987,36,Bank Transfer,Monthly
988,48,PayPal,Weekly
989,47,PayPal,Fortnightly
990,2,Bank Transfer,Monthly
991,24,Cash,Weekly
992,40,Bank Transfer,Bi-Weekly
993,50,Debit Card,Weekly
994,25,Cash,Weekly
995,20,Debit Card,Monthly
996,10,Venmo,Weekly
997,32,Bank Transfer,Quarterly
998,31,Cash,Fortnightly
999,48,Bank Transfer,Bi-Weekly
1000,23,Debit Card,Monthly
1001,1,Bank Transfer,Bi-Weekly
1002,4,Debit Card,Fortnightly
1003,3,Bank Transfer,Bi-Weekly
1004,3,Cash,Bi-Weekly
1005,44,Cash,Annually
1006,5,Debit Card,Bi-Weekly
1007,50,Venmo,Quarterly
1008,2,Credit Card,Annually
1009,29,PayPal,Annually
1010,11,Venmo,Annually
1011,37,Credit Card,Fortnightly
1012,32,Debit Card,Fortnightly
1013,27,Credit Card,Annually
1014,31,Venmo,Bi-Weekly
1015,36,Debit Card,Fortnightly
1016,34,Cash,Weekly
1017,15,Bank Transfer,Every 3 Months
1018,14,Credit Card,Annually
1019,46,Cash,Weekly
1020,33,Venmo,Bi-Weekly
1021,41,Debit Card,Annually
1022,39,PayPal,Weekly
1023,7,Cash,Annually
1024,29,Bank Transfer,Every 3 Months
1025,18,Venmo,Quarterly
1026,15,Credit Card,Annually
1027,39,PayPal,Bi-Weekly
1028,11,Cash,Monthly
1029,4,Cash,Fortnightly
1030,33,Venmo,Bi-Weekly
1031,37,Debit Card,Quarterly
1032,32,Cash,Quarterly
1033,44,Credit Card,Quarterly
1034,41,Bank Transfer,Quarterly
1035,44,Bank Transfer,Weekly
1036,32,Venmo,Annually
1037,13,Bank Transfer,Monthly
1038,48,Debit Card,Quarterly
1039,3,Bank Transfer,Weekly
1040,39,Venmo,Monthly
1041,7,Cash,Fortnightly
1042,11,Cash,Fortnightly
1043,47,Credit Card,Weekly
1044,28,Debit Card,Fortnightly
1045,17,Bank Transfer,Every 3 Months
1046,11,PayPal,Bi-Weekly
1047,12,Venmo,Annually
1048,7,Credit Card,Fortnightly
1049,19,Venmo,Fortnightly
1050,24,Cash,Quarterly
1051,19,Venmo,Monthly
1052,39,PayPal,Annually
1053,1,Credit Card,Fortnightly
1054,10,Debit Card,Bi-Weekly
1055,48,PayPal,Quarterly
1056,24,Debit Card,Annually
1057,42,Venmo,Fortnightly
1058,20,Credit Card,Weekly
1059,49,Bank Transfer,Every 3 Months
1060,25,Debit Card,Monthly
1061,21,Debit Card,Every 3 Months
1062,12,Venmo,Every 3 Months
1063,21,Debit Card,Every 3 Months
1064,35,Cash,Monthly
1065,42,Credit Card,Every 3 Months
1066,3,PayPal,Every 3 Months
1067,11,PayPal,Bi-Weekly
1068,22,PayPal,Quarterly
1069,47,Credit Card,Weekly
1070,33,Venmo,Every 3 Months
1071,50,Debit Card,Weekly
1072,46,Credit Card,Monthly
1073,34,Debit Card,Fortnightly
1074,33,Credit Card,Monthly
1075,45,Bank Transfer,Fortnightly
1076,32,Debit Card,Bi-Weekly
1077,47,Venmo,Bi-Weekly
1078,5,PayPal,Quarterly
1079,49,Credit Card,Fortnightly
1080,48,Bank Transfer,Monthly
1081,22,Cash,Every 3 Months
1082,45,Credit Card,Annually
1083,30,Venmo,Quarterly
1084,43,Cash,Weekly
1085,48,Cash,Quarterly
1086,23,Venmo,Fortnightly
1087,27,PayPal,Bi-Weekly
1088,7,Bank Transfer,Monthly
1089,2,PayPal,Weekly
1090,33,PayPal,Bi-Weekly
1091,27,Cash,Fortnightly
1092,6,Credit Card,Fortnightly
1093,20,Venmo,Quarterly
1094,46,Venmo,Every 3 Months
1095,25,Cash,Quarterly
1096,30,Bank Transfer,Quarterly
1097,48,Credit Card,Annually
1098,47,Bank Transfer,Weekly
1099,27,Credit Card,Weekly
1100,45,Bank Transfer,Fortnightly
1101,2,Credit Card,Weekly
1102,39,Cash,Fortnightly
1103,24,Cash,Fortnightly
1104,8,Debit Card,Bi-Weekly
1105,8,Bank Transfer,Quarterly
1106,6,Venmo,Every 3 Months
1107,12,Venmo,Fortnightly
1108,26,Bank Transfer,Weekly
1109,50,Cash,Fortnightly
1110,2,Venmo,Weekly
1111,31,Cash,Bi-Weekly
1112,4,Credit Card,Bi-Weekly
1113,32,PayPal,Quarterly
1114,11,PayPal,Bi-Weekly
1115,47,Bank Transfer,Every 3 Months
1116,37,Cash,Weekly
1117,39,PayPal,Fortnightly
1118,24,Credit Card,Monthly
1119,11,PayPal,Every 3 Months
1120,36,Credit Card,Weekly
1121,40,Debit Card,Monthly
1122,25,Cash,Quarterly
1123,12,Credit Card,Annually
1124,38,Cash,Monthly
1125,40,Cash,Quarterly
1126,10,Bank Transfer,Weekly
1127,47,Venmo,Fortnightly
1128,22,Debit Card,Monthly
1129,35,Debit Card,Monthly
1130,46,Venmo,Fortnightly
1131,30,PayPal,Bi-Weekly
1132,20,Bank Transfer,Monthly
1133,25,Cash,Fortnightly
1134,29,Cash,Weekly
1135,2,Venmo,Every 3 Months
1136,32,Bank Transfer,Quarterly
1137,37,Cash,Monthly
1138,16,Bank Transfer,Every 3 Months
1139,32,Venmo,Fortnightly
1140,42,Debit Card,Bi-Weekly
1141,6,Credit Card,Every 3 Months
1142,23,PayPal,Fortnightly
1143,27,Venmo,Bi-Weekly
1144,43,PayPal,Quarterly
1145,25,Bank Transfer,Fortnightly
1146,30,Cash,Every 3 Months
1147,7,Bank Transfer,Every 3 Months
1148,17,Debit Card,Annually
1149,10,PayPal,Fortnightly
1150,40,Venmo,Annually
1151,50,Venmo,Bi-Weekly
1152,24,Credit Card,Weekly
1153,8,PayPal,Every 3 Months
1154,6,Bank Transfer,Quarterly
1155,44,Credit Card,Bi-Weekly
1156,47,PayPal,Quarterly
1157,6,Venmo,Every 3 Months
1158,11,Cash,Quarterly
1159,41,Bank Transfer,Annually
1160,46,Venmo,Every 3 Months
1161,9,Venmo,Bi-Weekly
1162,37,PayPal,Monthly
1163,13,PayPal,Weekly
1164,24,Debit Card,Monthly
1165,47,PayPal,Quarterly
1166,21,Venmo,Every 3 Months
1167,22,Venmo,Fortnightly
1168,16,PayPal,Quarterly
1169,37,Debit Card,Fortnightly
1170,3,Cash,Annually
1171,33,Cash,Bi-Weekly
1172,15,Debit Card,Annually
1173,42,Bank Transfer,Bi-Weekly
1174,42,Cash,Bi-Weekly
1175,19,Bank Transfer,Bi-Weekly
1176,26,PayPal,Quarterly
1177,39,PayPal,Quarterly
1178,24,Debit Card,Monthly
1179,23,Debit Card,Annually
1180,44,Bank Transfer,Annually
1181,34,Cash,Monthly
1182,43,Bank Transfer,Quarterly
1183,45,PayPal,Quarterly
1184,4,Credit Card,Weekly
1185,19,Credit Card,Annually
1186,29,Credit Card,Monthly
1187,27,Credit Card,Annually
1188,37,Credit Card,Every 3 Months
1189,11,Credit Card,Weekly
1190,28,Debit Card,Annually
1191,31,Credit Card,Weekly
1192,50,Venmo,Quarterly
1193,42,Venmo,Quarterly
1194,18,Credit Card,Fortnightly
1195,6,Credit Card,Fortnightly
1196,33,Venmo,Monthly
1197,13,Bank Transfer,Bi-Weekly
1198,26,PayPal,Annually
1199,17,Cash,Annually
1200,3,Debit Card,Weekly
1201,7,PayPal,Weekly
1202,46,Venmo,Fortnightly
1203,14,Venmo,Every 3 Months
1204,23,Bank Transfer,Annually
1205,20,Credit Card,Every 3 Months
1206,38,Bank Transfer,Fortnightly
1207,16,Venmo,Every 3 Months
1208,48,Credit Card,Every 3 Months
1209,8,Debit Card,Annually
1210,16,Bank Transfer,Monthly
1211,5,Cash,Quarterly
1212,14,Venmo,Every 3 Months
1213,18,Credit Card,Weekly
1214,14,Debit Card,Every 3 Months
1215,5,Cash,Every 3 Months
1216,15,Credit Card,Every 3 Months
1217,3,Venmo,Every 3 Months
1218,12,Cash,Every 3 Months
1219,43,Cash,Every 3 Months
1220,35,Credit Card,Bi-Weekly
1221,36,Bank Transfer,Quarterly
1222,3,Cash,Quarterly
1223,27,Bank Transfer,Annually
1224,21,Bank Transfer,Weekly
1225,18,Venmo,Weekly
1226,16,Debit Card,Weekly
1227,18,Venmo,Bi-Weekly
1228,19,Bank Transfer,Bi-Weekly
1229,1,Cash,Annually
1230,39,Bank Transfer,Annually
1231,49,Venmo,Monthly
1232,43,Credit Card,Fortnightly
1233,31,Debit Card,Every 3 Months
1234,40,Venmo,Every 3 Months
1235,2,Bank Transfer,Bi-Weekly
1236,46,PayPal,Every 3 Months
1237,35,Debit Card,Every 3 Months
1238,42,Credit Card,Quarterly
1239,3,Venmo,Fortnightly
1240,32,Debit Card,Every 3 Months
1241,48,Debit Card,Annually
1242,34,Credit Card,Weekly
1243,15,Bank Transfer,Quarterly
1244,22,Debit Card,Annually
1245,2,Cash,Monthly
1246,30,Bank Transfer,Weekly
1247,27,Cash,Monthly
1248,18,Venmo,Bi-Weekly
1249,8,Credit Card,Annually
1250,48,Venmo,Fortnightly
1251,24,Cash,Monthly
1252,43,Credit Card,Monthly
1253,8,Cash,Quarterly
1254,49,PayPal,Annually
1255,2,Credit Card,Bi-Weekly
1256,38,Cash,Fortnightly
1257,4,Cash,Fortnightly
1258,31,Cash,Every 3 Months
1259,34,Debit Card,Every 3 Months
1260,45,Credit Card,Monthly
1261,30,Debit Card,Quarterly
1262,2,Credit Card,Fortnightly
1263,44,Venmo,Monthly
1264,1,Credit Card,Bi-Weekly
1265,1,Venmo,Bi-Weekly
1266,27,Bank Transfer,Weekly
1267,14,Debit Card,Every 3 Months
1268,41,Cash,Weekly
1269,25,Debit Card,Bi-Weekly
1270,47,PayPal,Quarterly
1271,20,Cash,Annually
1272,42,PayPal,Annually
1273,16,Bank Transfer,Monthly
1274,32,Credit Card,Every 3 Months
1275,37,PayPal,Quarterly
1276,1,PayPal,Monthly
1277,37,Bank Transfer,Weekly
1278,5,Venmo,Quarterly
1279,31,Venmo,Fortnightly
1280,18,Debit Card,Annually
1281,39,Venmo,Every 3 Months
1282,8,Venmo,Bi-Weekly
1283,20,Venmo,Monthly
1284,23,Debit Card,Every 3 Months
1285,38,PayPal,Fortnightly
1286,45,Bank Transfer,Fortnightly
1287,44,Debit Card,Fortnightly
1288,20,PayPal,Monthly
1289,34,PayPal,Bi-Weekly
1290,10,PayPal,Weekly
1291,3,PayPal,Annually
1292,23,Debit Card,Fortnightly
1293,42,Bank Transfer,Annually
1294,30,Debit Card,Annually
1295,21,Cash,Every 3 Months
1296,50,PayPal,Weekly
1297,16,Cash,Bi-Weekly
1298,32,Venmo,Annually
1299,14,Bank Transfer,Fortnightly
1300,42,Venmo,Bi-Weekly
1301,47,Credit Card,Every 3 Months
1302,21,Debit Card,Weekly
1303,37,Credit Card,Monthly
1304,10,Credit Card,Annually
1305,18,PayPal,Every 3 Months
1306,2,PayPal,Every 3 Months
1307,40,PayPal,Annually
1308,43,PayPal,Annually
1309,14,Credit Card,Every 3 Months
1310,41,Cash,Quarterly
1311,38,Credit Card,Every 3 Months
1312,12,Venmo,Annually
1313,19,Bank Transfer,Monthly
1314,23,Credit Card,Bi-Weekly
1315,49,Debit Card,Annually
1316,29,Debit Card,Quarterly
1317,14,Debit Card,Bi-Weekly
1318,19,Cash,Monthly
1319,19,Credit Card,Bi-Weekly
1320,48,Bank Transfer,Weekly
1321,19,Debit Card,Annually
1322,45,Bank Transfer,Every 3 Months
1323,17,Bank Transfer,Quarterly
1324,15,Debit Card,Every 3 Months
1325,11,Credit Card,Fortnightly
1326,1,Cash,Monthly
1327,17,Cash,Monthly
1328,37,Cash,Weekly
1329,40,Bank Transfer,Weekly
1330,50,PayPal,Every 3 Months
1331,20,PayPal,Bi-Weekly
1332,8,PayPal,Bi-Weekly
1333,16,Bank Transfer,Quarterly
1334,9,Bank Transfer,Quarterly
1335,12,Venmo,Monthly
1336,26,Credit Card,Weekly
1337,44,Debit Card,Fortnightly
1338,19,Credit Card,Bi-Weekly
1339,43,PayPal,Fortnightly
1340,5,Bank Transfer,Every 3 Months
1341,5,Debit Card,Every 3 Months
1342,31,Bank Transfer,Quarterly
1343,11,Bank Transfer,Monthly
1344,34,Bank Transfer,Monthly
1345,14,Cash,Annually
1346,42,Venmo,Weekly
1347,15,Venmo,Bi-Weekly
1348,47,Bank Transfer,Monthly
1349,23,Credit Card,Fortnightly
1350,23,Cash,Bi-Weekly
1351,1,Cash,Every 3 Months
1352,28,Bank Transfer,Quarterly
1353,37,Credit Card,Bi-Weekly
1354,4,Cash,Every 3 Months
1355,21,Bank Transfer,Quarterly
1356,50,PayPal,Bi-Weekly
1357,34,Bank Transfer,Annually
1358,20,Cash,Quarterly
1359,25,Venmo,Every 3 Months
1360,26,Bank Transfer,Fortnightly
1361,4,Bank Transfer,Annually
1362,39,Debit Card,Monthly
1363,29,Cash,Weekly
1364,47,PayPal,Quarterly
1365,5,Cash,Every 3 Months
1366,18,Bank Transfer,Fortnightly
1367,10,Credit Card,Fortnightly
1368,25,Cash,Quarterly
1369,2,Cash,Weekly
1370,48,Venmo,Fortnightly
1371,41,Bank Transfer,Every 3 Months
1372,42,Credit Card,Monthly
1373,44,PayPal,Bi-Weekly
1374,6,Cash,Quarterly
1375,5,Bank Transfer,Quarterly
1376,8,Credit Card,Annually
1377,24,PayPal,Annually
1378,42,Venmo,Monthly
1379,24,Venmo,Weekly
1380,38,Venmo,Bi-Weekly
1381,41,Cash,Fortnightly
1382,48,Venmo,Quarterly
1383,16,Bank Transfer,Quarterly
1384,4,Venmo,Monthly
1385,8,Bank Transfer,Weekly
1386,1,Bank Transfer,Bi-Weekly
1387,4,Debit Card,Quarterly
1388,20,Credit Card,Monthly
1389,40,Cash,Quarterly
1390,8,Debit Card,Fortnightly
1391,42,Debit Card,Weekly
1392,38,Credit Card,Annually
1393,34,Venmo,Every 3 Months
1394,14,PayPal,Fortnightly
1395,39,Cash,Weekly
1396,40,PayPal,Bi-Weekly
1397,49,Debit Card,Monthly
1398,33,PayPal,Annually
1399,25,Credit Card,Weekly
1400,48,Venmo,Annually
1401,22,Credit Card,Every 3 Months
1402,1,PayPal,Weekly
1403,47,PayPal,Monthly
1404,20,Credit Card,Bi-Weekly
1405,10,Debit Card,Weekly
1406,39,Credit Card,Monthly
1407,15,Debit Card,Monthly
1408,11,Credit Card,Annually
1409,38,Venmo,Weekly
1410,41,Cash,Fortnightly
1411,18,Debit Card,Annually
1412,13,Venmo,Quarterly
1413,43,Venmo,Annually
1414,12,Bank Transfer,Quarterly
1415,3,Credit Card,Bi-Weekly
1416,12,Credit Card,Every 3 Months
1417,46,Cash,Quarterly
1418,21,Debit Card,Fortnightly
1419,23,Venmo,Every 3 Months
1420,4,Debit Card,Quarterly
1421,45,PayPal,Every 3 Months
1422,24,Bank Transfer,Fortnightly
1423,3,PayPal,Bi-Weekly
1424,12,Venmo,Every 3 Months
1425,34,Bank Transfer,Every 3 Months
1426,39,Credit Card,Annually
1427,35,PayPal,Every 3 Months
1428,8,Credit Card,Annually
1429,42,PayPal,Quarterly
1430,6,Credit Card,Every 3 Months
1431,3,Credit Card,Fortnightly
1432,29,Venmo,Quarterly
1433,32,Debit Card,Quarterly
1434,45,Debit Card,Weekly
1435,21,Debit Card,Bi-Weekly
1436,41,Cash,Weekly
1437,23,PayPal,Fortnightly
1438,14,Cash,Annually
1439,24,Debit Card,Monthly
1440,25,Cash,Fortnightly
1441,13,Venmo,Monthly
1442,3,Venmo,Every 3 Months
1443,42,Credit Card,Annually
1444,2,Cash,Monthly
1445,26,Cash,Quarterly
1446,24,Credit Card,Annually
1447,6,Credit Card,Quarterly
1448,25,PayPal,Monthly
1449,11,Credit Card,Every 3 Months
1450,20,Cash,Every 3 Months
1451,25,Cash,Quarterly
1452,35,PayPal,Quarterly
1453,11,Bank Transfer,Quarterly
1454,41,Bank Transfer,Fortnightly
1455,17,Credit Card,Annually
1456,1,PayPal,Every 3 Months
1457,30,PayPal,Every 3 Months
1458,47,Venmo,Fortnightly
1459,34,Venmo,Weekly
1460,18,Venmo,Fortnightly
1461,33,Venmo,Bi-Weekly
1462,42,Venmo,Quarterly
1463,2,Venmo,Quarterly
1464,1,Bank Transfer,Monthly
1465,23,Bank Transfer,Quarterly
1466,42,Cash,Bi-Weekly
1467,3,PayPal,Annually
1468,16,Debit Card,Fortnightly
1469,46,Cash,Fortnightly
1470,31,PayPal,Every 3 Months
1471,15,Cash,Every 3 Months
1472,48,Venmo,Every 3 Months
1473,11,Cash,Weekly
1474,20,Credit Card,Every 3 Months
1475,6,Credit Card,Monthly
1476,24,Cash,Monthly
1477,18,Credit Card,Monthly
1478,1,PayPal,Every 3 Months
1479,13,Venmo,Bi-Weekly
1480,2,Bank Transfer,Weekly
1481,26,Cash,Quarterly
1482,31,PayPal,Quarterly
1483,43,Bank Transfer,Weekly
1484,12,Debit Card,Bi-Weekly
1485,22,Venmo,Every 3 Months
1486,3,Cash,Fortnightly
1487,23,Venmo,Every 3 Months
1488,26,PayPal,Annually
1489,37,Credit Card,Weekly
1490,42,Venmo,Quarterly
1491,15,Venmo,Bi-Weekly
1492,10,Bank Transfer,Quarterly
1493,3,Venmo,Quarterly
1494,44,Credit Card,Quarterly
1495,23,Bank Transfer,Fortnightly
1496,6,PayPal,Weekly
1497,9,Venmo,Bi-Weekly
1498,16,Debit Card,Every 3 Months
1499,46,Venmo,Fortnightly
1500,24,Credit Card,Every 3 Months
1501,22,Debit Card,Monthly
1502,13,Debit Card,Every 3 Months
1503,20,Cash,Fortnightly
1504,46,Cash,Quarterly
1505,10,Bank Transfer,Monthly
1506,39,Cash,Monthly
1507,44,PayPal,Quarterly
1508,7,Venmo,Annually
1509,3,Cash,Every 3 Months
1510,44,Debit Card,Annually
1511,31,Venmo,Annually
1512,48,Credit Card,Weekly
1513,18,PayPal,Bi-Weekly
1514,27,Cash,Monthly
1515,1,Venmo,Weekly
1516,34,Cash,Weekly
1517,5,Bank Transfer,Bi-Weekly
1518,12,Cash,Quarterly
1519,14,Venmo,Fortnightly
1520,40,PayPal,Weekly
1521,39,Cash,Quarterly
1522,50,Bank Transfer,Weekly
1523,5,Debit Card,Monthly
1524,35,Debit Card,Annually
1525,6,Cash,Bi-Weekly
1526,22,Cash,Fortnightly
1527,27,PayPal,Monthly
1528,33,Debit Card,Fortnightly
1529,47,Venmo,Bi-Weekly
1530,48,Credit Card,Bi-Weekly
1531,22,Bank Transfer,Quarterly
1532,8,PayPal,Bi-Weekly
1533,5,PayPal,Every 3 Months
1534,16,Bank Transfer,Quarterly
1535,26,Venmo,Fortnightly
1536,8,Venmo,Monthly
1537,17,Cash,Quarterly
1538,50,Venmo,Annually
1539,22,Venmo,Bi-Weekly
1540,19,Cash,Every 3 Months
1541,14,Bank Transfer,Monthly
1542,35,Cash,Bi-Weekly
1543,43,PayPal,Weekly
1544,24,Venmo,Annually
1545,17,Debit Card,Bi-Weekly
1546,49,Bank Transfer,Annually
1547,17,Bank Transfer,Annually
1548,40,Cash,Quarterly
1549,43,Bank Transfer,Weekly
1550,19,Debit Card,Every 3 Months
1551,40,Bank Transfer,Quarterly
1552,13,Credit Card,Monthly
1553,20,Credit Card,Monthly
1554,21,Debit Card,Quarterly
1555,18,Cash,Bi-Weekly
1556,44,Cash,Quarterly
1557,26,Credit Card,Quarterly
1558,34,PayPal,Quarterly
1559,24,Credit Card,Every 3 Months
1560,23,PayPal,Fortnightly
1561,3,Debit Card,Weekly
1562,2,Bank Transfer,Quarterly
1563,23,Venmo,Bi-Weekly
1564,8,Cash,Weekly
1565,30,Debit Card,Every 3 Months
1566,48,PayPal,Annually
1567,21,Cash,Bi-Weekly
1568,9,Cash,Monthly
1569,8,Debit Card,Monthly
1570,29,Debit Card,Weekly
1571,3,Bank Transfer,Every 3 Months
1572,11,Bank Transfer,Fortnightly
1573,16,Debit Card,Monthly
1574,25,Debit Card,Weekly
1575,32,PayPal,Bi-Weekly
1576,28,Cash,Fortnightly
1577,36,PayPal,Monthly
1578,7,Venmo,Fortnightly
1579,2,PayPal,Quarterly
1580,6,Bank Transfer,Monthly
1581,30,Cash,Annually
1582,46,Cash,Quarterly
1583,39,Cash,Monthly
1584,8,Venmo,Annually
1585,46,Credit Card,Quarterly
1586,40,Debit Card,Fortnightly
1587,21,Bank Transfer,Weekly
1588,33,Credit Card,Fortnightly
1589,3,Venmo,Monthly
1590,48,Cash,Weekly
1591,8,PayPal,Annually
1592,24,PayPal,Annually
1593,10,Bank Transfer,Every 3 Months
1594,25,Bank Transfer,Monthly
1595,3,Cash,Fortnightly
1596,45,Debit Card,Fortnightly
1597,15,Debit Card,Monthly
1598,34,Bank Transfer,Quarterly
1599,21,Venmo,Bi-Weekly
1600,22,Debit Card,Bi-Weekly
1601,24,PayPal,Weekly
1602,33,Credit Card,Monthly
1603,13,Venmo,Fortnightly
1604,17,Debit Card,Bi-Weekly
1605,25,Credit Card,Every 3 Months
1606,15,Credit Card,Bi-Weekly
1607,4,PayPal,Fortnightly
1608,43,Debit Card,Quarterly
1609,12,Bank Transfer,Bi-Weekly
1610,3,Venmo,Monthly
1611,1,PayPal,Annually
1612,6,Debit Card,Monthly
1613,26,Venmo,Monthly
1614,6,Credit Card,Fortnightly
1615,22,Cash,Bi-Weekly
1616,45,Cash,Bi-Weekly
1617,50,Cash,Quarterly
1618,50,Credit Card,Fortnightly
1619,39,Debit Card,Quarterly
1620,50,Venmo,Bi-Weekly
1621,27,PayPal,Every 3 Months
1622,38,Debit Card,Fortnightly
1623,37,Bank Transfer,Every 3 Months
1624,50,Debit Card,Annually
1625,40,PayPal,Every 3 Months
1626,3,PayPal,Bi-Weekly
1627,45,Credit Card,Bi-Weekly
1628,8,Credit Card,Annually
1629,7,Cash,Monthly
1630,13,Venmo,Quarterly
1631,29,Venmo,Every 3 Months
1632,7,Bank Transfer,Fortnightly
1633,50,Debit Card,Every 3 Months
1634,33,Debit Card,Bi-Weekly
1635,30,Cash,Every 3 Months
1636,40,Cash,Annually
1637,49,Cash,Fortnightly
1638,32,Venmo,Fortnightly
1639,18,Venmo,Weekly
1640,50,PayPal,Annually
1641,13,PayPal,Weekly
1642,1,Bank Transfer,Every 3 Months
1643,16,PayPal,Fortnightly
1644,6,PayPal,Monthly
1645,21,Debit Card,Monthly
1646,36,Venmo,Every 3 Months
1647,20,Bank Transfer,Every 3 Months
1648,8,Debit Card,Quarterly
1649,22,Credit Card,Monthly
1650,3,Credit Card,Quarterly
1651,46,Credit Card,Fortnightly
1652,42,Debit Card,Monthly
1653,1,Bank Transfer,Fortnightly
1654,29,Debit Card,Bi-Weekly
1655,14,Credit Card,Quarterly
1656,4,PayPal,Monthly
1657,41,PayPal,Every 3 Months
1658,4,Debit Card,Bi-Weekly
1659,47,Cash,Weekly
1660,44,Venmo,Annually
1661,37,Venmo,Monthly
1662,21,Debit Card,Quarterly
1663,46,Debit Card,Fortnightly
1664,1,Cash,Bi-Weekly
1665,35,PayPal,Weekly
1666,49,Venmo,Monthly
1667,47,PayPal,Annually
1668,24,Bank Transfer,Every 3 Months
1669,28,Debit Card,Fortnightly
1670,22,Bank Transfer,Quarterly
1671,20,Cash,Weekly
1672,25,Bank Transfer,Weekly
1673,15,Venmo,Quarterly
1674,49,Venmo,Bi-Weekly
1675,10,Debit Card,Fortnightly
1676,21,Credit Card,Annually
1677,34,Bank Transfer,Weekly
1678,41,Debit Card,Weekly
1679,30,Venmo,Fortnightly
1680,24,Debit Card,Bi-Weekly
1681,6,Credit Card,Annually
1682,14,Credit Card,Bi-Weekly
1683,37,Credit Card,Bi-Weekly
1684,37,Venmo,Quarterly
1685,28,PayPal,Weekly
1686,43,PayPal,Bi-Weekly
1687,25,Cash,Annually
1688,4,PayPal,Annually
1689,13,Venmo,Fortnightly
1690,32,Bank Transfer,Monthly
1691,1,Cash,Annually
1692,4,Cash,Annually
1693,33,Cash,Bi-Weekly
1694,45,Bank Transfer,Fortnightly
1695,20,Debit Card,Fortnightly
1696,1,PayPal,Fortnightly
1697,7,Credit Card,Bi-Weekly
1698,48,Credit Card,Every 3 Months
1699,46,Bank Transfer,Quarterly
1700,34,Debit Card,Annually
1701,36,Bank Transfer,Monthly
1702,44,Debit Card,Every 3 Months
1703,48,Bank Transfer,Weekly
1704,12,Bank Transfer,Annually
1705,19,Cash,Every 3 Months
1706,49,Venmo,Bi-Weekly
1707,25,Venmo,Fortnightly
